step,reward,ppo_loss,mse_loss,total_loss,test_mos
570,-0.0069533102214336395,0.5251590348780155,0.017240237561054528,0.542399276047945,4.114411900344404
580,-0.006368299946188927,0.4370400570333004,0.017556885606609285,0.4545969385653734,4.114593583113939
590,-0.011175233870744705,0.49407899379730225,0.016966706491075456,0.5110456999391317,4.114796147184465
600,-0.015829846262931824,0.5853432323783636,0.013913117814809084,0.5992563515901566,4.1149890026421225
610,-0.024269385263323784,0.5121400374919176,0.01820148149272427,0.5303415171802044,4.115185276397224
620,-0.017125366255640984,0.9406588263809681,0.013805322407279164,0.9544641524553299,4.115367782347411
630,-0.0028611626476049423,0.907167611643672,0.014924115384928882,0.9220917262136936,4.1155121731526645
640,0.0050157662481069565,0.7588144410401583,0.013202540634665638,0.7720169760286808,4.1156779084969495
650,-0.0018848758190870285,0.5272857304662466,0.01766340876929462,0.5449491366744041,4.115887730445676
660,-0.0016508661210536957,0.9031895156949759,0.014079265296459198,0.9172687847167253,4.116111412789058
670,0.004015352576971054,0.8877871725708246,0.017229520191904157,0.9050166867673397,4.116236922521035
